character_id,episode,info_type,info_id,text_content
--- Episode 1 ---,,,,
yuji_itadori,S1E01,appearance,,
yuji_itadori,S1E01,reveal_identity,,
yuji_itadori,S1E01,fact,fact_02,Possesses superhuman physical strength.
yuji_itadori,S1E01,fact,fact_08,Sentenced to be executed.
yuji_itadori,S1E01,relation,rel_01,Wasuke Itadori *(grandfather)* **†**
yuji_itadori,S1E01,grade,,Unknown
megumi_fushiguro,S1E01,appearance,,
megumi_fushiguro,S1E01,reveal_identity,,
megumi_fushiguro,S1E01,fact,fact_01,"A student from Jujutsu Tech sent to retrieve a special-grade cursed object, known as Ryomen Sukuna's finger."
megumi_fushiguro,S1E01,fact,fact_02,Fights using Shikigami.
ryomen_sukuna,S1E01,appearance,,
ryomen_sukuna,S1E01,reveal_identity,,
ryomen_sukuna,S1E01,fact,fact_08,Incarnated into the modern era when Yuji swallowed one of his fingers.
ryomen_sukuna,S1E01,fact,fact_11,"Possesses immense destructive power, but his control is actively suppressed by Yuji's body."
satoru_gojo,S1E01,appearance,,
satoru_gojo,S1E01,reveal_identity,,
satoru_gojo,S1E01,fact,fact_01,A teacher from Jujutsu Tech in charge of the first-year students.
curses,S1E01,appearance,,
curses,S1E01,reveal_identity,,Curses
curses,S1E01,fact,fact_01,"The physical manifestation of negative energy. Average humans are not able to perceive them, outside of certain conditions."
curses,S1E01,fact,fact_02,Curses can only be exorcised by cursed energy.
cursed_energy,S1E01,appearance,,
cursed_energy,S1E01,reveal_identity,,Cursed Energy
cursed_energy,S1E01,fact,fact_01,Used to exorcise curses.
cursed_energy,S1E01,fact,fact_02,**Cursed Objects:** Objects that contain cursed energy.
sukuna_fingers,S1E01,appearance,,
sukuna_fingers,S1E01,reveal_identity,,Sukuna Fingers
sukuna_fingers,S1E01,fact,fact_01,Find out more.
--- Episode 2 ---,,,,
masamichi_yaga,S1E02,appearance,,
masamichi_yaga,S1E02,reveal_identity,,
masamichi_yaga,S1E02,affiliation_change,,Tokyo
masamichi_yaga,S1E02,fact,fact_01,The principal of Tokyo Jujutsu Tech.
masamichi_yaga,S1E02,fact,fact_02,"Able to create autonomous, cursed dolls."
yuji_itadori,S1E02,affiliation_change,,Tokyo
yuji_itadori,S1E02,fact,fact_09,"A rare, compatible vessel for Sukuna, one that has not been seen in 1000 years."
yuji_itadori,S1E02,fact,fact_08,To be executed once he had absorbed all of Sukuna's fingers.
yuji_itadori,S1E02,fact,fact_01,A first-year student at Tokyo Jujutsu Tech.
yuji_itadori,S1E02,fact,fact_04,Has absorbed 2 Sukuna fingers.
satoru_gojo,S1E02,affiliation_change,,Tokyo
satoru_gojo,S1E02,fact,fact_01,"A Tokyo Jujutsu Tech teacher, in charge of the first-year students."
nobara_kugisaki,S1E02,appearance,,
megumi_fushiguro,S1E02,fact,fact_01,A first-year student at Tokyo Jujutsu Tech.
megumi_fushiguro,S1E02,affiliation_change,,Tokyo
ryomen_sukuna,S1E02,fact,fact_01,"Was known as the ""King of Curses"" 1000 years ago, during the golden age of jujutsu."
ryomen_sukuna,S1E02,fact,fact_11,"Possesses immense destructive power, but lacks complete control over Yuji's body."
sukuna_fingers,S1E02,fact,fact_01,"There are 20 fingers, on account of Sukuna's 4 arms.<br><em>They are indestructable and grow stronger as time passes.</em>"
--- Episode 3 ---,,,,
nobara_kugisaki,S1E03,reveal_identity,,
nobara_kugisaki,S1E03,fact,fact_01,A first-year student at Tokyo Jujutsu Tech.
nobara_kugisaki,S1E03,affiliation_change,,Tokyo
nobara_kugisaki,S1E03,fact,fact_02,Channels her cursed energy through nails and straw dolls.
nobara_kugisaki,S1E03,relation,rel_01,Saori *(close friend)*
nobara_kugisaki,S1E03,fact,fact_10,Wields a hammer and nails as her preferred weapon.
curses,S1E03,fact,fact_02,"Curses grow in strength and numbers proportionally to the population, due to the density of negative emotions."
--- Episode 4 ---,,,,
kiyotaka_ijichi,S1E04,appearance,,
kiyotaka_ijichi,S1E04,reveal_identity,,
kiyotaka_ijichi,S1E04,fact,fact_01,An assistant manager from Tokyo Jujutsu Tech.
personnel,S1E04,appearance,,
personnel,S1E04,reveal_identity,,Personnel
personnel,S1E04,fact,fact_01,"**Windows:** Jujutsu Tech members who can only see curses, often relied on for surveillance."
grade_scale,S1E04,appearance,,
grade_scale,S1E04,reveal_identity,,Grades
grade_scale,S1E04,fact,fact_01,"Classification based on the strength of the sorcerer, cursed spirit, cursed object or cursed tool.<br><em>(Grade 4 → Grade 3 → Semi-Grade 2 → Grade 2 → Semi-Grade 1 → Grade 1 → Special Grade)</em>"
